"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"ayub.virtualthreads.AsyncReverseServiceWithHttpStringReverserBenchmark.baseline","thrpt",1,1,4711003672.301036,NaN,"ops/s"
"ayub.virtualthreads.AsyncReverseServiceWithHttpStringReverserBenchmark.reverse","thrpt",1,1,2711.930885,NaN,"ops/s"
"ayub.virtualthreads.AsyncReverseServiceWithStringBuilderReverserBenchmark.baseline","thrpt",1,1,4579799146.897330,NaN,"ops/s"
"ayub.virtualthreads.AsyncReverseServiceWithStringBuilderReverserBenchmark.reverse","thrpt",1,1,29221.328734,NaN,"ops/s"
"ayub.virtualthreads.ParallelReverseServiceWithHttpStringReverserBenchmark.baseline","thrpt",1,1,4616158728.386200,NaN,"ops/s"
"ayub.virtualthreads.ParallelReverseServiceWithHttpStringReverserBenchmark.reverse","thrpt",1,1,2746.595366,NaN,"ops/s"
"ayub.virtualthreads.ParallelReverseServiceWithStringBuilderReverserBenchmark.baseline","thrpt",1,1,4621393031.395060,NaN,"ops/s"
"ayub.virtualthreads.ParallelReverseServiceWithStringBuilderReverserBenchmark.reverse","thrpt",1,1,105840.060953,NaN,"ops/s"
"ayub.virtualthreads.StringBuilderReverserBenchmark.reverse","thrpt",1,1,86641261.452143,NaN,"ops/s"
"ayub.virtualthreads.VirtualThreadReverseServiceWithHttpStringReverserBenchmark.baseline","thrpt",1,1,4694421736.305048,NaN,"ops/s"
"ayub.virtualthreads.VirtualThreadReverseServiceWithHttpStringReverserBenchmark.reverse","thrpt",1,1,2838.689649,NaN,"ops/s"
"ayub.virtualthreads.VirtualThreadReverseServiceWithStringBuilderReverserBenchmark.baseline","thrpt",1,1,4709009615.006993,NaN,"ops/s"
"ayub.virtualthreads.VirtualThreadReverseServiceWithStringBuilderReverserBenchmark.reverse","thrpt",1,1,27091.784238,NaN,"ops/s"
"ayub.virtualthreads.AsyncReverseServiceWithHttpStringReverserBenchmark.reverse","avgt",1,1,0.000376,NaN,"s/op"
"ayub.virtualthreads.AsyncReverseServiceWithStringBuilderReverserBenchmark.reverse","avgt",1,1,0.000038,NaN,"s/op"
"ayub.virtualthreads.ParallelReverseServiceWithHttpStringReverserBenchmark.reverse","avgt",1,1,0.000352,NaN,"s/op"
"ayub.virtualthreads.ParallelReverseServiceWithStringBuilderReverserBenchmark.reverse","avgt",1,1,0.000013,NaN,"s/op"
"ayub.virtualthreads.VirtualThreadReverseServiceWithHttpStringReverserBenchmark.reverse","avgt",1,1,0.000407,NaN,"s/op"
"ayub.virtualthreads.VirtualThreadReverseServiceWithStringBuilderReverserBenchmark.reverse","avgt",1,1,0.000037,NaN,"s/op"
